Procedure Type,PROCEDURE NAME,Procedure End Goal,Procedure File Number,Step Number,EPRL,TEXT
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Verification (What),"""Enable"" button"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Action (What),"PRESS ""Door Open"" "
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Action (Where),on PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Verification (What),"""Enable"" button"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,12,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Action (What),"PRESS ""Enable"""
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Action (Where),on PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,13,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Action (What),"PRESS ""Next Drawer"" or ""Prev Drawer"""
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Action (Where),on PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,14,Waiting (Where),in front of transfer port door
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Action (How),"using  ""↑"" or ""↓"" buttons"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Action (What),ADJUST drawer position using
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Action (Where),on PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,15,Waiting (Where),in front of transfer port door
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Action (How),"using  ""↑"" or ""↓"" buttons"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Action (What),PULL drawer into HAL cabin
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Action (Where),on PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,16,Waiting (Where),in front of transfer port door
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Action (How),"using  ""↑"" or ""↓"" buttons"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Action (What),REMOVE all bags 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Action (Where),from PRS Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,17,Waiting (Where),in front of transfer port door
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Action (How),"using  ""↑"" or ""↓"" buttons"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Action (What),TEMP STOW all bags
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Action (Where),from PRS Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,18,Waiting (Where),in front of transfer port door
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Action (How),"using  ""↑"" or ""↓"" buttons"
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Action (What),REMOVE EV1 EVA Mini-Workstation Kit ASSY
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Action (Where),from PRS_D1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Verification (How),light up
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Verification (What),The button 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Verification (Where),PRS switch panel
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Waiting (How), positioned
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Waiting (What),until Drawer 1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,19,Waiting (Where),in front of transfer port door
