Procedure,Airplane_Model,Date,Time,Index,start,end,label,label2,text
Takeoff Procedure Manual 747,747,44722,0.879041666666667,66,442,454,Action (Where),Action,to/ga switch
Takeoff Procedure Manual 747,747,44722,0.879041666666667,67,552,586,Action (What),Action,verify correct takeoff thrust set
Takeoff Procedure Manual 747,747,44722,0.879041666666667,68,673,689,Action (What),Action,verify 80 knots
Takeoff Procedure Manual 747,747,44722,0.879041666666667,69,690,717,Action (What),Action,monitor airspeed noting v1
Takeoff Procedure Manual 747,747,44722,0.879041666666667,70,718,731,Action (What),Action,rotate at vr
Takeoff Procedure Manual 747,747,44722,0.879041666666667,71,732,765,Action (What),Action,establish positive rate of climb
Takeoff Procedure Manual 747,747,44722,0.879041666666667,72,766,770,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,73,766,784,Action (What),Action,call for  gear up
Takeoff Procedure Manual 747,747,44722,0.879041666666667,74,775,784,Action (How),Action,gear up
Takeoff Procedure Manual 747,747,44722,0.879041666666667,75,785,825,Trigger (What),Trigger,when positiverate of climb established
Takeoff Procedure Manual 747,747,44722,0.879041666666667,76,790,812,Trigger (How),Trigger,positiverate of climb
Takeoff Procedure Manual 747,747,44722,0.879041666666667,77,826,879,Trigger (What),Trigger,when above minimum altitude forautopilot engagement
Takeoff Procedure Manual 747,747,44722,0.879041666666667,78,831,853,Trigger (How),Trigger,above minimum altitude
Takeoff Procedure Manual 747,747,44722,0.879041666666667,79,880,891,Action (What),Action,engage a/p
Takeoff Procedure Manual 747,747,44722,0.879041666666667,80,892,911,Action (What),Action,verify acceleration
Takeoff Procedure Manual 747,747,44722,0.879041666666667,81,912,935,Trigger (What),Trigger,at accelerationheight
Takeoff Procedure Manual 747,747,44722,0.879041666666667,82,915,935,Trigger (How),Trigger,accelerationheight
Takeoff Procedure Manual 747,747,44722,0.879041666666667,83,936,991,Action (What),Action,call for  flaps according toflap retraction schedule
Takeoff Procedure Manual 747,747,44722,0.879041666666667,84,936,940,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,85,945,951,Action (How),Action,flaps
Takeoff Procedure Manual 747,747,44722,0.879041666666667,86,992,1016,Action (What),Action,verify climb thrust set
Takeoff Procedure Manual 747,747,44722,0.879041666666667,87,1017,1052,Action (What),Action,call for  after takeoffchecklist '
Takeoff Procedure Manual 747,747,44722,0.879041666666667,88,1017,1021,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,89,1026,1052,Trigger (How),Trigger,after takeoffchecklist '
Takeoff Procedure Manual 747,747,44722,0.879041666666667,90,1222,1238,Actor,Actor,pilot not flying
Takeoff Procedure Manual 747,747,44722,0.879041666666667,91,1239,1300,Action (What),Action,position inboard landing lights andstrobe light switches on
Takeoff Procedure Manual 747,747,44722,0.879041666666667,92,1248,1296,Action (Where),Action,inboard landing lights andstrobe light switches
Takeoff Procedure Manual 747,747,44722,0.879041666666667,93,1301,1345,Action (What),Action,position transponder mode selector tota/ra
Takeoff Procedure Manual 747,747,44722,0.879041666666667,94,1310,1335,Action (Where),Action,transponder mode selector
Takeoff Procedure Manual 747,747,44722,0.879041666666667,95,1346,1392,Action (What),Action,monitor engine instruments throughouttakeoff
Takeoff Procedure Manual 747,747,44722,0.879041666666667,96,1393,1446,Decide (What),Decide,a djust takeoff thrust prior to 80 knots ifrequired
Takeoff Procedure Manual 747,747,44722,0.879041666666667,97,1393,1433,Action (What),Action,a djust takeoff thrust prior to 80 knots
Takeoff Procedure Manual 747,747,44722,0.879041666666667,98,1416,1433,Trigger (What),Trigger,prior to 80 knots
Takeoff Procedure Manual 747,747,44722,0.879041666666667,99,1447,1451,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,100,1447,1463,Action (What),Action,call  80 knots
Takeoff Procedure Manual 747,747,44722,0.879041666666667,101,1452,1463,Action (How),Action,80 knots
Takeoff Procedure Manual 747,747,44722,0.879041666666667,102,1464,1468,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,103,1464,1474,Action (What),Action,call  v1
Takeoff Procedure Manual 747,747,44722,0.879041666666667,104,1469,1474,Action (How),Action,v1
Takeoff Procedure Manual 747,747,44722,0.879041666666667,105,1475,1495,Action (What),Action,atvr call  rotate
Takeoff Procedure Manual 747,747,44722,0.879041666666667,106,1475,1480,Trigger (What),Trigger,atvr
Takeoff Procedure Manual 747,747,44722,0.879041666666667,107,1481,1485,Action (Where),Action,call
Takeoff Procedure Manual 747,747,44722,0.879041666666667,108,1486,1495,Action (How),Action,rotate
Takeoff Procedure Manual 747,747,44722,0.879041666666667,109,1496,1532,Action (What),Action,monitor airspeed and vertical speed
Takeoff Procedure Manual 747,747,44722,0.879041666666667,110,1533,1563,Action (What),Action,verify positive rate of climb;
Takeoff Procedure Manual 747,747,44722,0.879041666666667,111,1570,1601,Action (What),Action,position landing gear lever up
Takeoff Procedure Manual 747,747,44722,0.879041666666667,112,1570,1578,Action (How),Action,position
Takeoff Procedure Manual 747,747,44722,0.879041666666667,113,1579,1597,Action (Where),Action,landing gear lever
Takeoff Procedure Manual 747,747,44722,0.879041666666667,114,1602,1628,Action (What),Action,verify lnav vnav engaged
Takeoff Procedure Manual 747,747,44722,0.879041666666667,115,1609,1619,Action (Where),Action,lnav vnav
Takeoff Procedure Manual 747,747,44722,0.879041666666667,116,1629,1661,Action (What),Action,position flap lever as directed
Takeoff Procedure Manual 747,747,44722,0.879041666666667,117,1629,1637,Action (How),Action,position
Takeoff Procedure Manual 747,747,44722,0.879041666666667,118,1638,1648,Action (Where),Action,flap lever
Takeoff Procedure Manual 747,747,44722,0.879041666666667,119,1662,1694,Action (What),Action,position landing gear lever off
Takeoff Procedure Manual 747,747,44722,0.879041666666667,120,1662,1670,Action (How),Action,position
Takeoff Procedure Manual 747,747,44722,0.879041666666667,121,1671,1689,Action (Where),Action,landing gear lever
Takeoff Procedure Manual 747,747,44722,0.879041666666667,122,1695,1731,Action (What),Action,a ccomplish after takeoffchecklist
Shutdown Procedure Manual 747,747,44722,0.878961805555556,124,345,362,Action (What),Action,parking brakeset
Shutdown Procedure Manual 747,747,44722,0.878961805555556,125,363,389,Action (What),Action,electrical powerestablish
Shutdown Procedure Manual 747,747,44722,0.878961805555556,126,390,416,Decide (What),Decide,if external power desired:
Shutdown Procedure Manual 747,747,44722,0.878961805555556,127,417,484,Action (What),Action,external power 1 and/or external power 2avail lights - illuminated
Shutdown Procedure Manual 747,747,44722,0.878961805555556,128,485,541,Action (What),Action,external power 1 and/or external power 2switches - push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,129,485,534,Action (Where),Action,external power 1 and/or external power 2switches
Shutdown Procedure Manual 747,747,44722,0.878961805555556,130,535,541,Action (How),Action,- push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,131,542,573,Verification (What),Verification,verify on light s  illuminated
Shutdown Procedure Manual 747,747,44722,0.878961805555556,132,549,560,Verification (How),Verification,on light s
Shutdown Procedure Manual 747,747,44722,0.878961805555556,133,574,595,Decide (What),Decide,if apu power desired:
Shutdown Procedure Manual 747,747,44722,0.878961805555556,134,596,658,Action (What),Action,apu generator 1 and apu generator 2avail lights - illuminated
Shutdown Procedure Manual 747,747,44722,0.878961805555556,135,659,688,Action (What),Action,apu generator 1 switch - push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,136,659,681,Action (Where),Action,apu generator 1 switch
Shutdown Procedure Manual 747,747,44722,0.878961805555556,137,684,688,Action (How),Action,push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,138,689,717,Verification (What),Verification,verify on light illuminated
Shutdown Procedure Manual 747,747,44722,0.878961805555556,139,696,704,Verification (How),Verification,on light
Shutdown Procedure Manual 747,747,44722,0.878961805555556,140,718,740,Action (Where),Action,apu generator 2 switch
Shutdown Procedure Manual 747,747,44722,0.878961805555556,141,718,747,Action (What),Action,apu generator 2 switch - push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,142,743,747,Action (How),Action,push
Shutdown Procedure Manual 747,747,44722,0.878961805555556,143,748,776,Verification (What),Verification,verify on light illuminated
Shutdown Procedure Manual 747,747,44722,0.878961805555556,144,755,763,Verification (How),Verification,on light
Shutdown Procedure Manual 747,747,44722,0.878961805555556,145,777,824,Action (What),Action,hydraulic demand pump 1 2 and 3 selectorsoff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,146,777,820,Action (Where),Action,hydraulic demand pump 1 2 and 3 selectors
Shutdown Procedure Manual 747,747,44722,0.878961805555556,147,825,861,Action (What),Action,hydraulic demand pump 4 selectoraux
Shutdown Procedure Manual 747,747,44722,0.878961805555556,148,825,857,Action (Where),Action,hydraulic demand pump 4 selector
Shutdown Procedure Manual 747,747,44722,0.878961805555556,149,862,890,Action (What),Action,fuel control switchescutoff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,150,862,883,Action (Where),Action,fuel control switches
Shutdown Procedure Manual 747,747,44722,0.878961805555556,151,891,919,Action (What),Action,seatbelts signs selectoroff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,152,891,915,Action (Where),Action,seatbelts signs selector
Shutdown Procedure Manual 747,747,44722,0.878961805555556,153,920,964,Trigger (What),Trigger,when all passenger doors are in manual mode
Shutdown Procedure Manual 747,747,44722,0.878961805555556,154,965,999,Action (What),Action,place seatbelt signsselector off
Shutdown Procedure Manual 747,747,44722,0.878961805555556,155,965,994,Action (Where),Action,place seatbelt signsselector
Shutdown Procedure Manual 747,747,44722,0.878961805555556,156,1000,1062,Action (What),Action,fuel pump switchesoffnacelle and wing anti-ice switches off
Shutdown Procedure Manual 747,747,44722,0.878961805555556,157,1000,1058,Action (Where),Action,fuel pump switchesoffnacelle and wing anti-ice switches
Shutdown Procedure Manual 747,747,44722,0.878961805555556,158,1063,1087,Action (What),Action,beacon lights switchoff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,159,1063,1083,Action (Where),Action,beacon lights switch
Shutdown Procedure Manual 747,747,44722,0.878961805555556,160,1088,1116,Action (What),Action,flight director switchesoff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,161,1088,1112,Action (Where),Action,flight director switches
Shutdown Procedure Manual 747,747,44722,0.878961805555556,162,1289,1310,Action (What),Action,status messagescheck
Shutdown Procedure Manual 747,747,44722,0.878961805555556,163,1333,1360,Trigger (What),Trigger,when wheel chocks in place
Shutdown Procedure Manual 747,747,44722,0.878961805555556,164,1361,1383,Action (What),Action,release parking brake
Shutdown Procedure Manual 747,747,44722,0.878961805555556,165,1384,1420,Action (What),Action,hydraulic demand pump 4 selectoroff
Shutdown Procedure Manual 747,747,44722,0.878961805555556,166,1384,1416,Action (Where),Action,hydraulic demand pump 4 selector
Shutdown Procedure Manual 747,747,44722,0.878961805555556,167,1421,1468,Action (What),Action,accomplish shutdown checklist down to  secure
Secure Procedure Manual 747,747,44722,0.878895833333333,169,321,343,Action (What),Action,irs mode selectorsoff
Secure Procedure Manual 747,747,44722,0.878895833333333,170,321,339,Action (Where),Action,irs mode selectors
Secure Procedure Manual 747,747,44722,0.878895833333333,171,344,371,Action (What),Action,emergency lights switchoff
Secure Procedure Manual 747,747,44722,0.878895833333333,172,344,367,Action (Where),Action,emergency lights switch
Secure Procedure Manual 747,747,44722,0.878895833333333,173,372,397,Action (What),Action,aft cargo heat switchoff
Secure Procedure Manual 747,747,44722,0.878895833333333,174,372,393,Action (Where),Action,aft cargo heat switch
Secure Procedure Manual 747,747,44722,0.878895833333333,175,398,424,Action (What),Action,pack control selectorsoff
Secure Procedure Manual 747,747,44722,0.878895833333333,176,398,420,Action (Where),Action,pack control selectors
Secure Procedure Manual 747,747,44722,0.878895833333333,177,425,474,Action (What),Action,apu selector and/or external power switch es off
Secure Procedure Manual 747,747,44722,0.878895833333333,178,425,470,Action (Where),Action,apu selector and/or external power switch es
Secure Procedure Manual 747,747,44722,0.878895833333333,179,475,501,Action (What),Action,standby power selectoroff
Secure Procedure Manual 747,747,44722,0.878895833333333,180,475,497,Action (Where),Action,standby power selector
Secure Procedure Manual 747,747,44722,0.878895833333333,181,502,540,Trigger (What),Trigger,when apu has completed shutdown cycle:
Secure Procedure Manual 747,747,44722,0.878895833333333,182,541,559,Action (What),Action,battery switchoff
Secure Procedure Manual 747,747,44722,0.878895833333333,183,560,610,Action (What),Action,a ccomplish remaining items on shutdown checklist
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,185,318,330,Actor,Actor,pilot flying
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,186,331,387,Action (What),Action,monitor rollout progress and proper autobrake operation
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,187,388,415,Action (What),Action,verify thrust levers closed
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,188,395,408,Action (Where),Action,thrust levers
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,189,420,440,Action (What),Action,speedbrake lever up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,190,420,436,Action (Where),Action,speedbrake lever
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,191,441,499,Action (What),Action,without delay raise reverse thrustlevers to idle detent
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,192,456,461,Action (How),Action,raise
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,193,462,483,Action (Where),Action,reverse thrustlevers
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,194,500,504,Action (How),Action,hold
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,195,500,534,Action (What),Action,hold light pressureuntil release
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,196,544,577,Action (What),Action,apply reversethrust as required
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,197,578,590,Trigger (What),Trigger,by 60 knots
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,198,591,662,Action (What),Action,initiate movement ofreverse thrust levers to reach reverseidle detent
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,199,612,633,Action (Where),Action,reverse thrust levers
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,200,663,683,Trigger (What),Trigger,prior to taxi speed
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,201,684,692,Action (How),Action,position
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,202,684,726,Action (What),Action,position levers full down  forwardthrust
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,203,693,699,Action (Where),Action,levers
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,204,727,773,Trigger (What),Trigger,when engines have deceleratedto reverse idle
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,205,774,794,Trigger (What),Trigger,prior to taxi speed
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,206,795,853,Action (What),Action,disarm autobrakesand continue manual braking asrequired
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,207,854,873,Action (What),Action,disengage autopilot
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,208,874,898,Trigger (What),Trigger,prior to runwayturnoff
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,209,1140,1156,Actor,Actor,pilot not flying
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,210,1157,1213,Action (What),Action,monitor rollout progress and proper autobrake operation
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,211,1214,1240,Action (What),Action,verify speedbrake lever up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,212,1221,1237,Action (Where),Action,speedbrake lever
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,213,1245,1268,Action (What),Action,call  speedbrakes up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,214,1245,1249,Action (Where),Action,call
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,215,1250,1268,Action (How),Action,speedbrakes up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,216,1269,1296,Decide (What),Decide,if speedbrake lever not up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,217,1272,1288,Decide (Where),Decide,speedbrake lever
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,218,1289,1296,Decide (How),Decide,not up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,219,1297,1322,Action (What),Action,callspeedbrakes not up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,220,1297,1301,Action (Where),Action,call
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,221,1302,1322,Action (How),Action,speedbrakes not up
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,222,1323,1339,Action (What),Action,call  60 knots
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,223,1323,1327,Action (Where),Action,call
Landing Roll Procedure Manual 747,747,44722,0.878846064814815,224,1328,1339,Action (How),Action,60 knots
Go-Around Procedure Manual 747,747,44722,0.878770833333333,226,320,332,Actor,Actor,pilot flying
Go-Around Procedure Manual 747,747,44722,0.878770833333333,227,333,351,Action (What),Action,push to/ga switch
Go-Around Procedure Manual 747,747,44722,0.878770833333333,228,333,337,Action (How),Action,push
Go-Around Procedure Manual 747,747,44722,0.878770833333333,229,338,351,Action (Where),Action,to/ga switch
Go-Around Procedure Manual 747,747,44722,0.878770833333333,230,352,372,Action (What),Action,call for  flaps 20
Go-Around Procedure Manual 747,747,44722,0.878770833333333,231,352,360,Action (Where),Action,call for
Go-Around Procedure Manual 747,747,44722,0.878770833333333,232,361,372,Action (How),Action,flaps 20
Go-Around Procedure Manual 747,747,44722,0.878770833333333,233,373,431,Action (What),Action,verify rotation to go-around attitude and thrust increase
Go-Around Procedure Manual 747,747,44722,0.878770833333333,234,432,474,Trigger (What),Trigger,a fter positive rate of climb established
Go-Around Procedure Manual 747,747,44722,0.878770833333333,235,439,461,Trigger (How),Trigger,positive rate of climb
Go-Around Procedure Manual 747,747,44722,0.878770833333333,236,475,483,Action (Where),Action,call for
Go-Around Procedure Manual 747,747,44722,0.878770833333333,237,475,494,Action (What),Action,call for  gear up
Go-Around Procedure Manual 747,747,44722,0.878770833333333,238,484,494,Action (How),Action,gear up
Go-Around Procedure Manual 747,747,44722,0.878770833333333,239,495,526,Trigger (What),Trigger,a bove 400 feet radio altitude
Go-Around Procedure Manual 747,747,44722,0.878770833333333,240,502,526,Trigger (How),Trigger,400 feet radio altitude
Go-Around Procedure Manual 747,747,44722,0.878770833333333,241,527,539,Action (What),Action,selectlnav
Go-Around Procedure Manual 747,747,44722,0.878770833333333,242,540,572,Trigger (What),Trigger,above 1000 feet radio altitude
Go-Around Procedure Manual 747,747,44722,0.878770833333333,243,546,572,Trigger (How),Trigger,1000 feet radio altitude
Go-Around Procedure Manual 747,747,44722,0.878770833333333,244,573,593,Action (What),Action,selectvnav or flch
Go-Around Procedure Manual 747,747,44722,0.878770833333333,245,594,602,Action (Where),Action,call for
Go-Around Procedure Manual 747,747,44722,0.878770833333333,246,594,650,Action (What),Action,call for  flaps   according to flapretraction schedule
Go-Around Procedure Manual 747,747,44722,0.878770833333333,247,603,621,Action (How),Action,flaps   according
Go-Around Procedure Manual 747,747,44722,0.878770833333333,248,651,732,Action (What),Action,verify missed approach route being tracked and missed approach altitude captured
Go-Around Procedure Manual 747,747,44722,0.878770833333333,249,733,768,Action (What),Action,call for  after takeoffchecklist
Go-Around Procedure Manual 747,747,44722,0.878770833333333,250,733,741,Action (Where),Action,call for
Go-Around Procedure Manual 747,747,44722,0.878770833333333,251,742,768,Action (How),Action,after takeoffchecklist
Go-Around Procedure Manual 747,747,44722,0.878770833333333,252,916,932,Actor,Actor,pilot not flying
Go-Around Procedure Manual 747,747,44722,0.878770833333333,253,933,959,Action (What),Action,position flap lever to 20
Go-Around Procedure Manual 747,747,44722,0.878770833333333,254,933,941,Action (How),Action,position
Go-Around Procedure Manual 747,747,44722,0.878770833333333,255,942,952,Action (Where),Action,flap lever
Go-Around Procedure Manual 747,747,44722,0.878770833333333,256,960,1018,Action (What),Action,verify rotation to go-around attitude and thrust increase
Go-Around Procedure Manual 747,747,44722,0.878770833333333,257,1019,1052,Action (What),Action,verify thrust adequate foradjust
Go-Around Procedure Manual 747,747,44722,0.878770833333333,258,1053,1066,Decide (What),Decide,if necessary
Go-Around Procedure Manual 747,747,44722,0.878770833333333,259,1067,1097,Action (What),Action,verify positive rate of climb
Go-Around Procedure Manual 747,747,44722,0.878770833333333,260,1103,1134,Action (What),Action,position landing gear lever up
Go-Around Procedure Manual 747,747,44722,0.878770833333333,261,1103,1111,Action (How),Action,position
Go-Around Procedure Manual 747,747,44722,0.878770833333333,262,1112,1130,Action (Where),Action,landing gear lever
Go-Around Procedure Manual 747,747,44722,0.878770833333333,263,1135,1167,Action (What),Action,position flap lever as directed
Go-Around Procedure Manual 747,747,44722,0.878770833333333,264,1135,1143,Action (How),Action,position
Go-Around Procedure Manual 747,747,44722,0.878770833333333,265,1144,1154,Action (Where),Action,flap lever
Go-Around Procedure Manual 747,747,44722,0.878770833333333,266,1168,1249,Action (What),Action,verify missed approach route being tracked and missed approach altitude captured
Go-Around Procedure Manual 747,747,44722,0.878770833333333,267,1250,1282,Action (What),Action,position landing gear lever off
Go-Around Procedure Manual 747,747,44722,0.878770833333333,268,1250,1258,Action (How),Action,position
Go-Around Procedure Manual 747,747,44722,0.878770833333333,269,1259,1277,Action (Where),Action,landing gear lever
